season,team,index_start,index_end,return_pct,sb_open,conf_open,div_open,wins_forecast,wins_lo,wins_hi,wins_lo_weight,wins_hi_weight,wins_lo_open,wins_hi_open,wins_source,sb_source,conf_source,div_source
2020,ARI,1000,435.1078901259481,-56.489210987405194,0.01639344262295082,0.03225806451612903,0.1111111111111111,7.5,7,8,0.5,0.5,0.6752818581366227,0.5,Covers preseason line + normal model,Covers preseason futures,Covers preseason futures,Covers preseason futures
2020,ATL,1000,0.0,-100.0,0.0196078431372549,0.038461538461538464,0.07692307692307693,7.5,7,8,0.5,0.5,0.6752818581366227,0.5,Covers preseason line + normal model,Covers preseason futures,Covers preseason futures,Covers preseason futures
2020,BAL,1000,185.10789012594807,-81.48921098740519,0.16666666666666666,0.2857142857142857,0.6428571428571429,11.5,11,12,0.5,0.5,0.6752818581366227,0.5,Covers preseason line + normal model,Covers preseason futures,Covers preseason futures,Covers preseason futures
2020,BUF,1000,873.8048393809427,-12.619516061905728,0.03225806451612903,0.0625,0.5555555555555556,9.0,9,10,1,0,0.5898941606357735,0.4101058393642265,Covers preseason line + normal model,Covers preseason futures,Covers preseason futures,Covers preseason futures
2020,CAR,1000,185.10789012594807,-81.48921098740519,0.004975124378109453,0.009900990099009901,0.03225806451612903,5.5,5,6,0.5,0.5,0.6752818581366227,0.5,Covers preseason line + normal model,Covers preseason futures,Covers preseason futures,Covers preseason futures
2020,CHI,1000,423.8048393809427,-57.61951606190573,0.0196078431372549,0.038461538461538464,0.18181818181818182,8.0,8,9,1,0,0.5898941606357735,0.4101058393642265,Covers preseason line + normal model,Covers preseason futures,Covers preseason futures,Covers preseason futures
2020,CIN,1000,0.0,-100.0,0.004975124378109453,0.009900990099009901,0.047619047619047616,5.5,5,6,0.5,0.5,0.6752818581366227,0.5,Covers preseason line + normal model,Covers preseason futures,Covers preseason futures,Covers preseason futures
2020,CLE,1000,435.1078901259481,-56.489210987405194,0.0196078431372549,0.038461538461538464,0.15384615384615385,8.5,8,9,0.5,0.5,0.6752818581366227,0.5,Covers preseason line + normal model,Covers preseason futures,Covers preseason futures,Covers preseason futures
2020,DAL,1000,0.0,-100.0,0.07692307692307693,0.14285714285714285,0.6363636363636364,10.0,10,11,1,0,0.5898941606357735,0.4101058393642265,Covers preseason line + normal model,Covers preseason futures,Covers preseason futures,Covers preseason futures
2020,DEN,1000,0.0,-100.0,0.024390243902439025,0.047619047619047616,0.09090909090909091,7.5,7,8,0.5,0.5,0.6752818581366227,0.5,Covers preseason line + normal model,Covers preseason futures,Covers preseason futures,Covers preseason futures
